name,level,school,concentration,casting_time,duration,save_type,damage_dice,healing_dice,effect_dice,targets,aoe_size,conditions,buffs,effect
Aura of Vitality,3,Abjuration,Yes,1 action,"Concentration, up to 1 minute",,,2d6,,AoE (Emanation),30-foot Emanation,,,Healing; Conjure/Create
Awaken,5,Transmutation,No,8 hours,Instantaneous,,,,,Single target,,Charmed,,
Backlash,4,Abjuration,No,1 reaction,Instantaneous,Constitution,4d6; 4d6 Force,,,Single target,,,,
Bane,1,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Charisma,1d4,,,Multi-target,,,,
Banishing Smite,5,Conjuration,Yes,1 bonus action,"Concentration, up to 1 minute",Charisma,5d10 Force,,,Self,,Incapacitated,,
Banishment,4,Abjuration,Yes,1 action,"Concentration, up to 1 minute",Charisma,,,,Single target,,Incapacitated,,
Barkskin,2,Transmutation,No,1 bonus action,1 hour,,,,,Single target,,,,
Beacon of Hope,3,Abjuration,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,,,Healing; Advantage on saves
Beast Sense,2,Divination,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,Divination/Scrying
Befuddlement,8,Enchantment,No,1 action,Instantaneous,Intelligence,10d12 Psychic,,,Single target,,,,Healing
Bestow Curse,3,Necromancy,Yes,1 action,"Concentration, up to 1 minute",Wisdom,1d8 Necrotic,,,Single target,,Cursed,Attackers have Disadvantage; Advantage on attacks,Impose Disadvantage (attacks); Impose Disadvantage (saves); Curse
Bigby's Hand,5,Evocation,Yes,1 action,"Concentration, up to 1 minute",,,,,Single target,,,,
Blade Barrier,6,Evocation,Yes,1 action,"Concentration, up to 10 minutes",Dexterity,6d10 Force,,,Single target,,,,
Blade of Disaster,9,Conjuration,Yes,1 bonus action,"Concentration, 1 minute",Melee Attack,10d6 Force,,,Single target,,,,Conjure/Create
Blade Ward,0,Abjuration,Yes,1 action,"Concentration, up to 1 minute",,1d4,,,Self,,,,
Bless,1,Enchantment,Yes,1 action,"Concentration, up to 1 minute",,,,1d4,Multi-target,,,+1d4 to attack rolls,
Blight,4,Necromancy,No,1 action,Instantaneous,Constitution,8d8 Necrotic,,,Single target,,,,
Blinding Smite,3,Evocation,No,1 bonus action,1 minute,,3d8 Radiant,,,Self,,Blinded,,
Blindness/Deafness,2,Transmutation,No,1 action,1 minute,Constitution,,,,Single target,,Blinded; Deafened,,
Blink,3,Transmutation,No,1 action,1 minute,,1d6,,,Self,,,,
Blur,2,Illusion,Yes,1 action,"Concentration, up to 1 minute",,,,,Self,,,Attackers have Disadvantage; Advantage on attacks,Impose Disadvantage (attacks)
Burning Hands,1,Evocation,No,1 action,Instantaneous,Dexterity,3d6 Fire,,,AoE (Cone),15-foot Cone,,,
Cacophonic Shield,3,Evocation,Yes,1 action,"Concentration, 10 minutes",Constitution,3d6 Thunder,,,AoE (Emanation),10-foot emanation,Deafened,,
Call Lightning,3,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",Dexterity,3d10 Lightning; 1d10,,,All creatures in area,,,,
Calm Emotions,2,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Charisma,,,,AoE (Sphere),20-foot-radius Sphere,Charmed; Frightened,Immunity,
Chain Lightning,6,Evocation,No,1 action,Instantaneous,Dexterity,10d8 Lightning,,,Single target,,,,
Charm Monster,4,Enchantment,No,1 action,1 hour,Wisdom,,,,Single target,,Charmed,,
Charm Person,1,Enchantment,No,1 action,1 hour,Wisdom,,,,Single target,,Charmed,,
Chill Touch,0,Necromancy,No,1 action,Instantaneous,Melee Attack,1d10; 2d10; 3d10; 4d10,,,Single target,,,,Healing
Chromatic Orb,1,Evocation,No,1 action,Instantaneous,Ranged Attack,3d8,,,Single target,,,,
Circle of Death,6,Necromancy,No,1 action,Instantaneous,Constitution,8d8 Necrotic,,,AoE (Sphere),60-foot-radius Sphere,,,
Circle of Power,5,Abjuration,Yes,1 action,"Concentration, up to 10 minutes",,,,,AoE (Emanation),30-foot Emanation,,,Advantage on saves; Negate damage
Clairvoyance,3,Divination,Yes,10 minutes,Instantaneous,,,,,Single target,,Invisible,,Invisibility; Divination/Scrying
Clone,8,Necromancy,No,1 hour,Instantaneous,,,,,Single target,,,,
Cloud of Daggers,2,Conjuration,Yes,1 action,"Concentration, up to 1 minute",,4d4 Slashing,,,AoE (Cube),5-foot Cube,,,Teleport; Conjure/Create
Cloudkill,5,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",Constitution,5d8 Poison,,,AoE (Sphere),20-foot-radius Sphere,,,
Color Spray,1,Illusion,No,1 action,Instantaneous,Constitution,,,,AoE (Cone),15-foot Cone,Blinded,,
Command,1,Enchantment,No,1 action,Instantaneous,Wisdom,,,,Single target,,Prone,,
Commune with Nature,5,Divination,No,1 minute,Instantaneous,,,,,Self,,,,Divination/Scrying
Commune,5,Divination,No,1 minute,1 minute,,,,,Self,,,,Divination/Scrying
Compelled Duel,1,Enchantment,Yes,1 bonus action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,,Attackers have Disadvantage; Advantage on attacks,Impose Disadvantage (attacks)
Comprehend Languages,1,Divination,No,1 action,1 hour,,,,,Self,,,,Divination/Scrying
Compulsion,4,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,All creatures in area,,Charmed,,
Concussive Burst,1,Evocation,No,1 action,Instantaneous,Constitution,2d4 Force,,,AoE (Sphere),20-foot-radius Sphere,Deafened,,
Cone of Cold,5,Evocation,No,1 action,Instantaneous,Constitution,8d8 Cold,,,AoE (Cone),60-foot Cone,,,
Confusion,4,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,1d10,,,AoE (Sphere),10-foot-radius Sphere,,,
Conjure Animals,3,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",Strength; Dexterity,3d10 Slashing,,,Single target,,,,Advantage on saves; Conjure/Create
Conjure Barrage,3,Conjuration,No,1 action,Instantaneous,Dexterity,5d8 Force,,,AoE (Cone),60-foot Cone,,,Conjure/Create
Conjure Celestial,7,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",Dexterity,6d12 Radiant,4d12,,All creatures in area,,,,Healing; Conjure/Create
Conjure Constructs,3,Conjuration,Yes,1 action,"Concentration, 10 minutes",Dexterity,3d6 Force,,,Single target,,,Temp HP,Conjure/Create
Conjure Elemental,5,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",Dexterity,8d8; 4d8,,,Single target,,Restrained,,Conjure/Create
Conjure Fey,6,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",Melee Attack,3d12,,,Single target,,Frightened,,Teleport; Conjure/Create
Conjure Minor Elementals,4,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",,2d8,,,AoE (Emanation),15-foot Emanation,,,Conjure/Create
Conjure Volley,5,Conjuration,No,1 action,Instantaneous,Dexterity,8d8 Force,,,All creatures in area,,,,
Conjure Woodland Beings,4,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",Wisdom,5d8 Force,,,AoE (Emanation),10-foot Emanation,,,Conjure/Create
Contact Other Plane,5,Divination,No,1 minute,1 minute,Intelligence,6d6 Psychic,,,Self,,Incapacitated,,Divination/Scrying
Contagion,5,Necromancy,No,1 action,7 days,Constitution,11d8 Necrotic,,,Single target,,Poisoned,,Impose Disadvantage (saves)
Contingency,6,Abjuration,No,10 minutes,10 days,,,,,Self,,,,
Continual Flame,2,Evocation,No,1 action,Until dispelled,,,,,Single target,,,,
Control Water,4,Transmutation,Yes,1 action,"Concentration, up to 10 minutes",Strength,1d100; 2d8 Bludgeoning,,,Single target,,,,
Control Weather,8,Transmutation,Yes,10 minutes,"Concentration, up to 8 hours",,1d4,,,Self,,,,
Cordon of Arrows,2,Transmutation,No,1 action,8 hours,Dexterity,2d4 Piercing,,,Single target,,,,
Counterspell,3,Abjuration,No,1 reaction,Instantaneous,Constitution,,,,Single target,,,,
Create Food and Water,3,Conjuration,No,1 action,Instantaneous,,,,,Single target,,,,
Create or Destroy Water,1,Transmutation,No,1 action,Instantaneous,,,,,AoE (Cube),30-foot Cube,,,
Create Undead,6,Necromancy,No,1 minute,Instantaneous,,,,,Multi-target,,,,
Creation,5,Illusion,No,1 minute,Special,,,,,AoE (Cube),5-foot Cube,,,
Crown of Madness,2,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,Charmed,,
Crusader's Mantle,3,Evocation,Yes,1 action,"Concentration, up to 1 minute",,1d4 Radiant,,,AoE (Emanation),30-foot Emanation,,,
Cure Wounds,1,Abjuration,No,1 action,Instantaneous,,,2d8,,Single target,,,,Healing
Dancing Lights,0,Illusion,Yes,1 action,"Concentration, up to 1 minute",,,,,Single target,,,,
Darkness,2,Evocation,Yes,1 action,"Concentration, up to 10 minutes",,,,,AoE (Sphere),15-foot-radius Sphere,,,
Darkvision,2,Transmutation,No,1 action,8 hours,,,,,Single target,,,,
Daylight,3,Evocation,No,1 action,1 hour,,,,,AoE (Sphere),60-foot-radius Sphere,,,
Death Armor,2,Necromancy,No,1 action,1 hour,,2d4 Necrotic,,,Single target,,,,Advantage on saves
Death Ward,4,Abjuration,No,1 action,8 hours,,,,,Single target,,,,
Delayed Blast Fireball,7,Evocation,Yes,1 action,"Concentration, up to 1 minute",Dexterity,12d6; 1d6,,,AoE (Sphere),20-foot-radius Sphere,,,
Demiplane,8,Conjuration,No,1 action,1 hour,,,,,Single target,,Prone,,Conjure/Create
Deryan's Helpful Homunculi,2,Conjuration,No,1 action,8 hours,,,,,Self,,,,Summon
Destructive Wave,5,Evocation,No,1 action,Instantaneous,Constitution,5d6 Thunder; 5d6 Radiant,,,AoE (Emanation),30-foot Emanation,Prone,,
Detect Evil and Good,1,Divination,Yes,1 action,"Concentration, up to 10 minutes",,,,,Self,,,,Divination/Scrying
Detect Magic,1,Divination,Yes,1 action,"Concentration, up to 10 minutes",,,,,Self,,,,Divination/Scrying
Detect Poison and Disease,1,Divination,Yes,1 action,"Concentration, up to 10 minutes",,,,,Self,,,,Divination/Scrying
Detect Thoughts,2,Divination,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Self,,,,Divination/Scrying
Dimension Door,4,Conjuration,No,1 action,Instantaneous,,4d6 Force,,,Multi-target,,,,Teleport
Dirge,6,Enchantment,Yes,1 action,"Concentration, 1 minute",Constitution,3d10 Necrotic,,,AoE (Emanation),60-foot emanation,Exhaustion; Prone,,Healing; Healing
Disguise Self,1,Illusion,No,1 action,1 hour,,,,,Self,,,,
Disintegrate,6,Transmutation,No,1 action,Instantaneous,Dexterity,,,,Single target,,,,
Dispel Evil and Good,5,Abjuration,Yes,1 action,"Concentration, up to 1 minute",Charisma,,,,Multi-target,,Charmed; Frightened,Attackers have Disadvantage; Advantage on attacks,Impose Disadvantage (attacks)
Dispel Magic,3,Abjuration,No,1 action,Instantaneous,,,,,Single target,,,,
Dissonant Whispers,1,Enchantment,No,1 action,Instantaneous,Wisdom,3d6 Psychic,,,Single target,,,,
Divination,4,Divination,No,1 action,Instantaneous,,,,,Self,,,,Divination/Scrying
Divine Favor,1,Transmutation,No,1 bonus action,1 minute,,1d4 Radiant,,,Self,,,,
Divine Smite,1,Evocation,No,1 bonus action,Instantaneous,,2d8 Radiant; 1d8,,,Self,,,,
Divine Word,7,Evocation,No,1 bonus action,Instantaneous,Charisma,,,,All creatures in area,,Blinded; Deafened; Stunned,,
Dominate Beast,4,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,Charmed,,
Dominate Monster,8,Enchantment,Yes,1 action,Special,Wisdom,,,,Single target,,Charmed,,
Dominate Person,5,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,Charmed,,
Doomtide,4,Conjuration,Yes,1 action,"Concentration, 1 minute",Wisdom,5d6 Psychic; 1d6,,,AoE (Sphere),20-foot-radius Sphere,,,
Dragon's Breath,2,Transmutation,Yes,1 bonus action,"Concentration, up to 1 minute",Dexterity,3d6,,,AoE (Cone),15-foot Cone,,,
Drawmij's Instant Summons,6,Conjuration,No,1 minute,Until dispelled,,,,,Single target,,Invisible,,Invisibility
Dream,5,Illusion,No,1 minute,8 hours,Wisdom,3d6 Psychic,,,Single target,,Incapacitated,,
Druidcraft,0,Transmutation,No,1 action,Instantaneous,,,,,AoE (Cube),5-foot Cube,,,
Earth Tremor,1,Evocation,No,1 action,Instantaneous,Dexterity,1d6 Bludgeoning,,,All creatures in area,,Prone,,
Earthbind,2,Transmutation,Yes,1 action,"Concentration, 1 minute",Strength,,,,Single target,,,,Flight
Earthquake,8,Transmutation,Yes,1 action,"Concentration, up to 1 minute",Dexterity,1d6; 1d10; 12d6 Bludgeoning,,,AoE (Circle),100-foot-radius circle,Prone,,
Eldritch Blast,0,Evocation,No,1 action,Instantaneous,Ranged Attack,1d10 Force,,,Single target,,,,
Elemental Weapon,3,Transmutation,Yes,1 action,"Concentration, up to 1 hour",,1d4,,,Single target,,,,
Elementalism,0,Transmutation,No,1 action,Instantaneous,,,,,AoE (Cube),5-foot Cube,,,Conjure/Create
Elminster's Effulgent Spheres,6,Evocation,No,1 action,1 hour,Ranged Attack,3d6 Acid,,,Self,,,,
Elminster's Elusion,2,Abjuration,Yes,1 bonus action,"Concentration, 10 minutes",,,,,Self,,,,Advantage on saves; Negate damage
Enemies Abound,3,Enchantment,Yes,1 action,"Concentration, 1 minute",Intelligence,,,,Single target,,Frightened,,
Enhance Ability,2,Transmutation,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,
Enlarge/Reduce,2,Transmutation,Yes,1 action,"Concentration, up to 1 minute",Strength; Constitution,1d4,,,Single target,,,,Impose Disadvantage (saves); Advantage on saves
Ensnaring Strike,1,Conjuration,Yes,1 bonus action,"Concentration, up to 1 minute",Strength,1d6 Piercing,,,Self,,Restrained,,
Entangle,1,Conjuration,Yes,1 action,"Concentration, up to 1 minute",Strength,,,,All creatures in area,,Restrained,,
Enthrall,2,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,,,
Etherealness,7,Conjuration,No,1 action,8 hours,,,,,Self,,,,
Evard's Black Tentacles,4,Conjuration,Yes,1 action,"Concentration, up to 1 minute",Strength,3d6 Bludgeoning,,,All creatures in area,,Restrained,,
Expeditious Retreat,1,Transmutation,Yes,1 bonus action,"Concentration, up to 10 minutes",,,,,Self,,,,
Eyebite,6,Necromancy,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,Frightened; Poisoned; Unconscious,,
Fabricate,4,Transmutation,No,10 minutes,Instantaneous,,,,,AoE (Cube),10-foot Cube,,,
Faerie Fire,1,Evocation,Yes,1 action,"Concentration, up to 1 minute",Dexterity,,,,AoE (Cube),20-foot Cube,Invisible,,Invisibility
False Life,1,Necromancy,No,1 action,Instantaneous,,,,,Self,,,Temp HP,
Fear,3,Illusion,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,AoE (Cone),30-foot Cone,Frightened,,
Feather Fall,1,Transmutation,No,1 reaction,1 minute,,,,,Single target,,,,Negate damage
Feign Death,3,Necromancy,No,1 action,1 hour,,,,,Single target,,Blinded; Incapacitated; Poisoned,Immunity,
Find Familiar,1,Conjuration,No,1 hour,Instantaneous,,,,,Single target,,,,
Find Steed,2,Conjuration,No,1 action,Instantaneous,,,,,Single target,,Incapacitated,,Flight; Summon
Find the Path,6,Divination,Yes,1 minute,"Concentration, up to 1 day",,,,,Self,,,,Divination/Scrying
Find Traps,2,Divination,No,1 action,Instantaneous,,,,,Single target,,,,Divination/Scrying
Finger of Death,7,Necromancy,No,1 action,Instantaneous,Constitution,7d8 + 30 Necrotic,,,Single target,,,,
Fire Bolt,0,Evocation,No,1 action,Instantaneous,Ranged Attack,1d10 Fire; 1d10; 2d10; 3d10; 4d10,,,Single target,,,,
Fire Shield,4,Evocation,No,1 action,10 minutes,,2d8,,,Self,,,,
Fire Storm,7,Evocation,No,1 action,Instantaneous,Dexterity,7d10 Fire,,,AoE (Cube),10-foot Cube,,,
Fireball,3,Evocation,No,1 action,Instantaneous,Dexterity,8d6 Fire,,,AoE (Sphere),20-foot-radius Sphere,,,
Flame Blade,2,Evocation,Yes,1 bonus action,"Concentration, up to 10 minutes",Melee Attack,3d6,,,Self,,,,
Flame Strike,5,Evocation,No,1 action,Instantaneous,Dexterity,5d6 Fire; 5d6 Radiant,,,All creatures in area,,,,
Flaming Sphere,2,Conjuration,Yes,1 action,"Concentration, up to 1 minute",,2d6 Fire,,,Single target,,,,Conjure/Create
Flesh to Stone,6,Transmutation,Yes,1 action,"Concentration, up to 1 minute",Constitution,,,,Single target,,Petrified; Restrained,,
Fly,3,Transmutation,Yes,1 action,"Concentration, up to 10 minutes",,,,,Single target,,,,Flight
Fog Cloud,1,Conjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,AoE (Sphere),20-foot-radius Sphere,,,
Forbiddance,6,Abjuration,No,10 minutes,1 day,,5d10 Radiant,,,Multi-target,,,,Teleport; Conjure/Create; Negate damage
Force Blast,0,Evocation,No,1 action,Instantaneous,Ranged Attack,1d8 Force; 1d8; 2d8; 3d8; 4d8,,,Single target,,,,
Forcecage,7,Evocation,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,Invisible,,Invisibility; Teleport
Foresight,9,Divination,No,1 minute,8 hours,,,,,Single target,,,Attackers have Disadvantage; Advantage on attacks,Impose Disadvantage (attacks); Divination/Scrying
Fount of Moonlight,4,Evocation,Yes,1 action,"Concentration, up to 10 minutes",,2d6 Radiant,,,Self,,Blinded,,
Freedom of Movement,4,Abjuration,No,1 action,1 hour,,,,,Single target,,Grappled; Paralyzed; Restrained,,
Friends,0,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,Charmed,,
Gaseous Form,3,Transmutation,Yes,1 action,"Concentration, up to 1 hour",Constitution,,,,Single target,,Prone,Immunity,Flight; Advantage on saves
Gate,9,Conjuration,Yes,1 action,"Concentration, up to 1 minute",,,,,Single target,,,,Conjure/Create
Geas,5,Enchantment,No,1 minute,30 days,Wisdom,5d10,,,Single target,,Charmed,,Curse
Gentle Repose,2,Necromancy,No,1 action,10 days,,,,,Single target,,,,
Giant Insect,4,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",,,,,Single target,,,,Flight; Summon
Glibness,8,Enchantment,No,1 action,1 hour,,,,,Self,,,,
Globe of Invulnerability,6,Abjuration,Yes,1 action,"Concentration, up to 1 minute",,,,,AoE (Emanation),10-foot Emanation,,,
Glyph of Warding,3,Abjuration,No,1 hour,Until dispelled or triggered,,5d8,,,AoE (Sphere),20-foot-radius Sphere,,,
Goodberry,1,Conjuration,No,1 action,24 hours,,,,,Self,,,,Healing
Grasping Vine,4,Conjuration,Yes,1 bonus action,"Concentration, up to 1 minute",Melee Attack,4d8 Bludgeoning,,,Single target,,Grappled,,Conjure/Create
Gray Gaze,0,Transmutation,No,1 bonus action,Instantaneous,Dexterity; Constitution,,,,Single target,,,,Impose Disadvantage (saves)
Grease,1,Conjuration,No,1 action,1 minute,Dexterity,,,,All creatures in area,,Prone,,
Greater Invisibility,4,Illusion,Yes,1 action,"Concentration, up to 1 minute",,,,,Single target,,Invisible,,Invisibility
Greater Restoration,5,Abjuration,No,1 action,Instantaneous,,,,,Single target,,Charmed; Cursed; Exhaustion; Petrified,,Curse
Guardian of Faith,4,Conjuration,No,1 action,8 hours,Dexterity,,,,Single target,,,,
Guards and Wards,6,Abjuration,No,1 hour,24 hours,,,,,Single target,,,,
Guidance,0,Divination,Yes,1 action,"Concentration, up to 1 minute",,,,1d4,Single target,,,,Divination/Scrying
Guiding Bolt,1,Evocation,No,1 action,1 round,Ranged Attack,4d6 Radiant,,,Single target,,,,
Gust of Wind,2,Evocation,Yes,1 action,"Concentration, up to 1 minute",Strength,,,,All creatures in area,,,,Forced movement
Hail of Thorns,1,Conjuration,No,1 bonus action,Instantaneous,Dexterity,1d10 Piercing,,,All creatures in area,,,,
Hallow,5,Abjuration,No,24 hours,Until dispelled,,,,,Single target,,Charmed; Frightened,,Teleport
Hallucinatory Terrain,4,Illusion,No,10 minutes,24 hours,,,,,AoE (Cube),150-foot Cube,,,
Harm,6,Necromancy,No,1 action,Instantaneous,Constitution,,,,Single target,,,,
Haste,3,Transmutation,Yes,1 action,"Concentration, up to 1 minute",Dexterity,,,,Single target,,Incapacitated,,Advantage on saves
Heal,6,Abjuration,No,1 action,Instantaneous,,,,,Single target,,Blinded; Deafened; Poisoned,,
Healing Word,1,Abjuration,No,1 bonus action,Instantaneous,,,2d4,,Single target,,,,Healing
Heat Metal,2,Transmutation,Yes,1 action,"Concentration, up to 1 minute",Constitution,2d8 Fire,,,Single target,,,Advantage on attacks,Impose Disadvantage (attacks)
Hellish Rebuke,1,Evocation,No,1 reaction,Instantaneous,Dexterity,2d10 Fire,,,Single target,,,,
Heroes' Feast,6,Conjuration,No,10 minutes,Instantaneous,,,,,AoE (Cube),10-foot Cube,Frightened; Poisoned,Immunity; Max HP increase,Conjure/Create
Heroism,1,Enchantment,Yes,1 action,"Concentration, up to 1 minute",,,,,Single target,,Frightened,Temp HP,
Hex,1,Enchantment,Yes,1 bonus action,"Concentration, up to 1 hour",,1d6 Necrotic,,,Single target,,Petrified,,Curse
Hold Monster,5,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,Paralyzed,,
Hold Person,2,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,Paralyzed,,
Holy Aura,8,Abjuration,Yes,1 action,"Concentration, up to 1 minute",Constitution,,,,AoE (Emanation),30-foot Emanation,Blinded,Attackers have Disadvantage; Advantage on attacks,Impose Disadvantage (attacks); Impose Disadvantage (saves); Advantage on saves
Holy Star of Mystra,8,Evocation,Yes,1 bonus action,"Concentration, 1 minute",Ranged Attack,4d10,,,Single target,,,,
Homunculus Servant,2,Conjuration,No,1 hour,Instantaneous,,,,,Single target,,,,Summon
Hunger of Hadar,3,Conjuration,Yes,1 action,"Concentration, up to 1 minute",Dexterity,2d6 Cold; 2d6 Acid,,,AoE (Sphere),20-foot-radius Sphere,Blinded,,
Hunter's Mark,1,Divination,Yes,1 bonus action,"Concentration, up to 1 hour",,,,,Single target,,,,Divination/Scrying
Hypnotic Pattern,3,Illusion,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,AoE (Cube),30-foot Cube,Charmed; Incapacitated,,Conjure/Create
Ice Knife,1,Conjuration,No,1 action,Instantaneous,Ranged Attack,1d10 Piercing; 2d6 Cold,,,All creatures in area,,,,Conjure/Create
Ice Storm,4,Evocation,No,1 action,Instantaneous,Dexterity,2d10 Bludgeoning; 4d6 Cold,,,All creatures in area,,,,
Identify,1,Divination,No,1 minute,Instantaneous,,,,,Single target,,,,Divination/Scrying
Illusory Script,1,Illusion,No,1 minute,10 days,,,,,Single target,,,,
Imprisonment,9,Abjuration,No,1 minute,Until dispelled,Wisdom,,,,Single target,,Restrained; Unconscious,,Teleport; Divination/Scrying; Conjure/Create
Incendiary Cloud,8,Conjuration,Yes,1 action,"Concentration, up to 1 minute",Dexterity,10d8 Fire,,,AoE (Sphere),20-foot-radius Sphere,,,
Inflict Wounds,1,Necromancy,No,1 action,Instantaneous,Constitution,2d10 Necrotic,,,Single target,,,,
Insect Plague,5,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",Constitution,4d10 Piercing,,,AoE (Sphere),20-foot-radius Sphere,,,
Invisibility,2,Illusion,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,Invisible,,Invisibility
Jallarzi's Storm of Radiance,5,Evocation,Yes,1 action,"Concentration, up to 1 minute",Constitution,2d10 Radiant; 2d10 Thunder,,,All creatures in area,,Blinded; Deafened,,
Jump,1,Transmutation,No,1 bonus action,1 minute,,,,,Single target,,,,
Knock,2,Transmutation,No,1 action,Instantaneous,,,,,Single target,,,,
Laeral's Silver Lance,3,Evocation,No,1 action,Instantaneous,Strength,3d10 Force,,,AoE (Line),120-foot line,Prone,,
Legend Lore,5,Divination,No,10 minutes,Instantaneous,,,,,Self,,,,Divination/Scrying
Leomund's Secret Chest,4,Conjuration,No,1 action,Until dispelled,,,,,Single target,,,,
Leomund's Tiny Hut,3,Evocation,No,1 minute,8 hours,,,,,AoE (Emanation),10-foot Emanation,,,
Lesser Restoration,2,Abjuration,No,1 bonus action,Instantaneous,,,,,Single target,,Blinded; Deafened; Paralyzed; Poisoned,,
Levitate,2,Transmutation,Yes,1 action,"Concentration, up to 10 minutes",Constitution,,,,Single target,,,,
Light,0,Evocation,No,1 action,1 hour,,,,,Single target,,,,
Lightning Arrow,3,Transmutation,No,1 bonus action,Instantaneous,Dexterity,4d8 Lightning; 2d8 Lightning,,,All creatures in area,,,,
